order_id,shop_id,user_id,order_amount,total_items,payment_method,Date,Time
4242,16,703,468,3,credit_card,3/5/2017,1:21:25 PM
1217,85,703,344,2,credit_card,3/6/2017,3:21:03 AM
2827,3,703,592,4,credit_card,3/23/2017,1:40:28 AM
3374,8,703,396,3,debit,3/2/2017,6:27:38 AM
4322,9,703,118,1,cash,3/29/2017,10:25:06 AM
1140,73,703,165,1,debit,3/18/2017,7:55:36 AM
4719,24,703,420,3,debit,3/10/2017,12:26:34 PM
648,70,703,346,2,cash,3/10/2017,2:55:53 PM
3292,28,703,656,4,cash,3/12/2017,10:28:35 PM
982,53,703,336,3,debit,3/13/2017,5:05:04 AM
4237,34,703,488,4,credit_card,3/13/2017,10:15:58 AM
4859,81,704,177,1,debit,3/9/2017,6:27:00 PM
4710,36,704,260,2,debit,3/21/2017,8:55:23 PM
2813,2,704,94,1,credit_card,3/5/2017,7:54:46 PM
2179,90,704,178,1,credit_card,3/11/2017,12:03:08 AM
3592,19,704,489,3,cash,3/21/2017,11:10:07 PM
2807,98,704,133,1,credit_card,3/22/2017,11:08:25 AM
2798,90,704,534,3,cash,3/7/2017,3:32:08 PM
401,35,704,328,2,cash,3/7/2017,7:57:33 AM
3894,26,704,176,1,credit_card,3/13/2017,9:13:31 PM
35,34,704,244,2,debit,3/13/2017,12:00:44 AM
310,5,704,284,2,credit_card,3/20/2017,7:50:21 AM
2698,73,704,495,3,cash,3/17/2017,3:00:43 PM
3166,21,704,142,1,credit_card,3/29/2017,12:51:32 PM
751,72,704,320,2,credit_card,3/17/2017,10:02:12 PM
569,19,705,326,2,credit_card,3/5/2017,2:35:56 PM
90,28,705,164,1,cash,3/11/2017,6:13:28 PM
4197,19,705,489,3,credit_card,3/29/2017,11:15:48 PM
3745,74,705,153,1,cash,3/9/2017,5:38:19 AM
4411,12,705,201,1,debit,3/6/2017,10:15:29 AM
567,60,705,354,2,cash,3/7/2017,5:05:34 AM
2870,77,705,312,2,cash,3/26/2017,7:59:03 PM
1338,62,705,480,3,debit,3/18/2017,7:30:38 AM
707,56,705,351,3,credit_card,3/25/2017,6:47:24 PM
3159,66,705,161,1,cash,3/12/2017,11:07:53 PM
4867,23,705,624,4,debit,3/13/2017,1:23:39 AM
4546,19,705,163,1,credit_card,3/21/2017,5:50:28 PM
3457,59,705,356,2,debit,3/28/2017,8:02:11 AM
1872,58,705,138,1,debit,3/3/2017,7:49:12 AM
2064,56,705,234,2,debit,3/19/2017,7:26:56 AM
1825,1,705,474,3,debit,3/13/2017,3:13:36 AM
1402,36,705,260,2,debit,3/16/2017,4:34:50 AM
2201,50,705,386,2,credit_card,3/18/2017,8:17:06 AM
2005,30,705,459,3,cash,3/28/2017,12:10:51 AM
3065,36,705,130,1,debit,3/18/2017,12:56:42 PM
4583,31,705,387,3,debit,3/17/2017,8:59:24 PM
986,86,705,130,1,cash,3/24/2017,6:11:45 PM
3568,9,706,118,1,cash,3/6/2017,6:39:01 AM
4561,88,706,176,1,debit,3/26/2017,9:56:23 AM
2057,35,706,164,1,credit_card,3/1/2017,8:34:45 AM
3864,15,706,153,1,credit_card,3/23/2017,1:04:03 PM
1331,97,706,162,1,cash,3/18/2017,10:24:58 PM
2985,14,706,116,1,debit,3/14/2017,10:29:19 PM
1871,34,706,366,3,credit_card,3/28/2017,5:34:44 AM
2410,53,706,112,1,debit,3/11/2017,1:44:38 PM
3646,94,706,268,2,credit_card,3/27/2017,4:16:24 PM
2026,37,706,142,1,cash,3/7/2017,7:06:17 AM
1880,10,706,444,3,debit,3/2/2017,4:20:55 AM
3253,67,706,786,6,credit_card,3/29/2017,4:05:41 PM
3035,68,706,272,2,debit,3/8/2017,10:26:25 AM
2818,15,707,612,4,cash,3/27/2017,6:11:13 PM
678,98,707,133,1,credit_card,3/26/2017,6:52:20 PM
4969,3,707,148,1,credit_card,3/24/2017,1:06:43 AM
1297,19,707,163,1,credit_card,3/29/2017,11:20:16 PM
4503,33,707,346,2,credit_card,3/18/2017,9:21:11 AM
4827,8,707,132,1,credit_card,3/17/2017,1:56:32 PM
3994,87,707,447,3,credit_card,3/17/2017,12:37:01 PM
1372,72,707,480,3,cash,3/5/2017,1:01:58 AM
3360,94,707,134,1,credit_card,3/26/2017,9:31:31 AM
2241,4,707,128,1,cash,3/23/2017,4:34:05 PM
4992,61,707,158,1,cash,3/13/2017,6:56:04 PM
85,41,707,118,1,debit,3/30/2017,12:05:30 PM
3099,43,707,181,1,cash,3/20/2017,2:30:52 PM
3156,80,707,290,2,debit,3/3/2017,4:36:54 AM
3411,6,707,187,1,cash,3/4/2017,8:48:09 PM
3051,53,707,112,1,credit_card,3/7/2017,10:01:46 AM
2578,48,707,351,3,cash,3/9/2017,4:54:26 PM
4743,90,708,356,2,debit,3/30/2017,7:52:28 PM
2114,27,708,507,3,credit_card,3/18/2017,10:49:30 PM
4707,19,708,652,4,debit,3/1/2017,6:49:19 PM
2766,9,708,236,2,debit,3/30/2017,9:22:41 AM
3828,37,708,142,1,credit_card,3/29/2017,12:55:34 PM
1050,12,708,402,2,debit,3/1/2017,1:11:03 AM
1555,29,708,489,3,cash,3/18/2017,11:38:04 PM
4787,24,708,140,1,credit_card,3/30/2017,2:56:02 AM
1738,25,708,260,2,credit_card,3/30/2017,6:00:03 PM
2789,86,708,130,1,credit_card,3/29/2017,10:57:41 PM
3857,2,708,188,2,credit_card,3/18/2017,11:27:10 PM
1173,43,708,181,1,debit,3/11/2017,1:30:15 AM
3014,55,708,171,1,debit,3/3/2017,5:04:06 PM
954,66,708,644,4,credit_card,3/27/2017,4:10:22 AM
4631,73,709,330,2,credit_card,3/23/2017,7:06:26 AM
3393,89,709,392,2,credit_card,3/26/2017,1:43:29 AM
431,20,709,508,4,cash,3/27/2017,1:43:50 PM
1330,27,709,338,2,debit,3/19/2017,2:42:19 AM
14,100,709,111,1,cash,3/22/2017,2:39:49 AM
898,88,709,176,1,cash,3/25/2017,8:24:22 AM
1120,96,709,153,1,credit_card,3/15/2017,3:00:05 AM
2563,74,709,306,2,debit,3/16/2017,2:18:11 PM
2914,32,709,202,2,credit_card,3/3/2017,2:53:03 AM
3660,14,709,232,2,cash,3/6/2017,12:01:53 PM
3338,9,709,236,2,debit,3/18/2017,10:39:22 AM
916,99,709,195,1,cash,3/25/2017,10:26:00 AM
3382,87,709,298,2,credit_card,3/22/2017,5:11:47 PM
3875,68,710,136,1,debit,3/24/2017,12:18:25 AM
1889,66,710,322,2,credit_card,3/6/2017,7:04:18 AM
645,64,710,399,3,debit,3/20/2017,3:55:19 AM
2583,17,710,528,3,credit_card,3/9/2017,4:09:19 AM
3954,46,710,498,3,debit,3/23/2017,5:44:48 PM
1467,65,710,616,4,credit_card,3/13/2017,7:39:17 AM
885,93,710,114,1,credit_card,3/12/2017,9:14:28 AM
4287,38,710,380,2,cash,3/26/2017,12:49:14 AM
3985,13,710,480,3,debit,3/16/2017,2:24:17 PM
1519,47,710,145,1,cash,3/15/2017,1:41:36 AM
616,7,710,112,1,cash,3/3/2017,7:33:01 AM
2632,82,710,177,1,cash,3/18/2017,3:13:41 AM
731,6,710,374,2,debit,3/7/2017,4:21:28 PM
1788,94,710,134,1,credit_card,3/30/2017,2:23:30 PM
1646,41,710,118,1,cash,3/28/2017,5:56:49 AM
3300,83,710,258,2,cash,3/18/2017,12:01:14 AM
3002,89,711,196,1,cash,3/24/2017,7:50:27 PM
1612,66,711,161,1,debit,3/5/2017,3:21:07 AM
4512,66,711,161,1,credit_card,3/22/2017,5:31:11 PM
3736,71,711,328,2,credit_card,3/11/2017,10:59:36 PM
2947,54,711,266,2,debit,3/5/2017,5:48:08 AM
1029,87,711,149,1,debit,3/12/2017,5:13:09 PM
3199,73,711,165,1,cash,3/1/2017,1:45:23 PM
1771,79,711,181,1,credit_card,3/11/2017,3:07:50 PM
87,56,711,234,2,credit_card,3/17/2017,2:08:47 AM
2737,24,711,280,2,debit,3/25/2017,3:15:27 AM
3306,45,711,142,1,credit_card,3/3/2017,12:20:53 PM
1776,14,711,116,1,debit,3/18/2017,10:52:37 PM
2959,24,711,560,4,debit,3/21/2017,1:10:08 PM
3727,2,711,282,3,debit,3/24/2017,12:33:36 PM
2318,22,711,146,1,debit,3/14/2017,1:35:49 AM
3582,5,711,284,2,debit,3/21/2017,2:20:01 AM
4805,28,711,164,1,credit_card,3/24/2017,8:53:18 AM
285,64,711,399,3,debit,3/11/2017,8:07:53 PM
3130,91,711,160,1,cash,3/10/2017,3:42:38 AM
4959,70,711,865,5,credit_card,3/8/2017,5:22:51 PM
1291,1,711,316,2,cash,3/7/2017,8:01:45 PM
2974,71,711,328,2,debit,3/9/2017,4:12:59 AM
315,6,712,374,2,credit_card,3/25/2017,11:59:11 AM
4334,69,712,262,2,credit_card,3/30/2017,2:56:16 PM
4244,91,712,320,2,credit_card,3/27/2017,5:39:22 PM
3962,90,712,356,2,cash,3/3/2017,4:42:38 AM
33,76,712,465,3,credit_card,3/10/2017,11:54:10 PM
605,86,712,260,2,debit,3/13/2017,7:32:10 PM
3267,71,712,492,3,debit,3/25/2017,10:00:55 PM
1760,91,712,640,4,credit_card,3/4/2017,8:40:32 PM
2557,87,712,149,1,debit,3/15/2017,1:08:04 AM
3305,16,712,312,2,debit,3/15/2017,3:50:15 AM
2643,89,712,392,2,debit,3/12/2017,5:46:41 PM
3399,35,712,164,1,debit,3/18/2017,10:26:11 AM
212,22,712,292,2,credit_card,3/30/2017,9:40:40 AM
1166,52,712,292,2,credit_card,3/3/2017,10:27:08 PM
3037,23,712,156,1,credit_card,3/7/2017,11:23:15 PM
2831,94,712,134,1,cash,3/14/2017,11:34:32 PM
4702,98,712,266,2,cash,3/2/2017,8:52:48 PM
4350,19,712,163,1,cash,3/28/2017,2:49:26 PM
2328,58,712,138,1,cash,3/17/2017,7:32:44 PM
1631,40,712,161,1,credit_card,3/24/2017,6:10:24 PM
2545,25,712,130,1,credit_card,3/28/2017,10:04:43 PM
1148,46,712,166,1,credit_card,3/28/2017,11:57:54 PM
4169,53,712,224,2,credit_card,3/15/2017,4:06:00 AM
547,31,713,258,2,credit_card,3/15/2017,4:41:22 AM
3720,45,713,710,5,cash,3/21/2017,11:39:35 AM
4765,11,713,184,1,cash,3/29/2017,9:06:42 PM
3431,24,713,280,2,debit,3/27/2017,6:04:47 AM
389,1,713,316,2,cash,3/12/2017,10:22:49 PM
4332,95,713,336,2,credit_card,3/1/2017,11:37:45 PM
950,27,713,676,4,debit,3/22/2017,2:42:47 AM
3257,61,713,316,2,cash,3/11/2017,2:06:04 AM
3741,19,713,163,1,cash,3/21/2017,12:04:35 AM
4815,66,713,161,1,debit,3/1/2017,8:06:35 PM
3550,40,713,322,2,debit,3/25/2017,11:10:09 AM
4666,86,713,130,1,debit,3/10/2017,3:10:09 PM
894,71,713,164,1,credit_card,3/13/2017,4:29:30 AM
2412,17,713,176,1,credit_card,3/26/2017,12:48:26 AM
374,72,713,480,3,debit,3/18/2017,4:44:36 PM
2062,46,713,332,2,credit_card,3/18/2017,3:35:11 AM
3576,48,713,234,2,cash,3/14/2017,9:36:29 AM
2803,72,713,480,3,credit_card,3/9/2017,10:33:39 PM
88,64,713,399,3,credit_card,3/4/2017,12:15:16 PM
49,3,714,296,2,debit,3/20/2017,4:48:03 PM
3758,29,714,163,1,cash,3/15/2017,9:03:45 AM
3744,35,714,492,3,cash,3/25/2017,6:37:48 PM
3989,27,714,169,1,credit_card,3/30/2017,7:00:14 PM
1830,35,714,164,1,debit,3/7/2017,4:44:20 AM
1669,69,714,262,2,debit,3/2/2017,8:16:06 AM
828,28,714,328,2,credit_card,3/18/2017,3:51:50 AM
3663,24,714,280,2,credit_card,3/26/2017,11:05:45 AM
3213,43,714,362,2,cash,3/22/2017,3:24:50 PM
2898,74,714,306,2,cash,3/19/2017,11:45:42 PM
4771,12,714,201,1,debit,3/30/2017,11:16:35 AM
3792,11,714,184,1,debit,3/7/2017,10:48:35 PM
1278,70,714,173,1,cash,3/18/2017,6:53:43 AM
1861,9,715,118,1,credit_card,3/29/2017,9:22:33 AM
4982,86,715,260,2,debit,3/10/2017,6:53:38 PM
777,11,715,184,1,credit_card,3/9/2017,10:48:01 PM
2068,43,715,362,2,credit_card,3/24/2017,6:08:28 PM
3587,73,715,495,3,credit_card,3/26/2017,7:28:19 AM
148,57,715,294,2,credit_card,3/17/2017,7:01:37 AM
1021,1,715,316,2,debit,3/8/2017,10:33:04 AM
4794,59,715,534,3,cash,3/11/2017,10:06:51 PM
3179,59,715,178,1,credit_card,3/1/2017,5:31:43 AM
2345,28,715,164,1,cash,3/2/2017,12:52:39 PM
1265,57,715,294,2,debit,3/1/2017,2:31:42 AM
1062,39,715,268,2,cash,3/23/2017,6:24:35 PM
1353,86,716,390,3,debit,3/15/2017,11:17:06 PM
542,61,716,158,1,debit,3/1/2017,1:28:39 PM
4745,53,716,224,2,cash,3/10/2017,8:33:39 AM
3081,85,716,344,2,credit_card,3/29/2017,3:56:42 AM
522,89,716,392,2,cash,3/23/2017,3:25:28 PM
2956,94,716,268,2,cash,3/24/2017,4:56:50 AM
4587,51,716,561,3,debit,3/22/2017,4:29:59 PM
3768,85,716,172,1,cash,3/7/2017,6:14:12 PM
3885,26,716,352,2,debit,3/5/2017,12:54:49 AM
4522,87,716,298,2,cash,3/3/2017,12:25:05 PM
4201,44,716,432,3,debit,3/28/2017,1:34:02 PM
4595,53,716,224,2,credit_card,3/7/2017,1:56:31 PM
1328,11,716,368,2,cash,3/29/2017,5:56:39 PM
3143,24,716,280,2,debit,3/2/2017,8:10:06 AM
1851,63,717,272,2,cash,3/24/2017,6:35:56 PM
4211,43,717,543,3,credit_card,3/13/2017,7:40:30 PM
1128,80,717,290,2,debit,3/2/2017,2:47:59 AM
4747,63,717,408,3,debit,3/1/2017,3:48:20 AM
4775,41,717,236,2,cash,3/23/2017,5:10:56 PM
4686,83,717,258,2,credit_card,3/24/2017,3:59:28 PM
2858,73,717,330,2,credit_card,3/3/2017,9:34:36 PM
3774,87,718,298,2,debit,3/5/2017,3:29:36 PM
391,7,718,336,3,credit_card,3/20/2017,5:25:11 PM
1816,95,718,168,1,debit,3/3/2017,9:48:05 PM
1073,35,718,164,1,debit,3/22/2017,11:43:32 PM
3433,89,718,588,3,debit,3/15/2017,5:44:58 PM
3178,43,718,362,2,debit,3/8/2017,10:24:58 AM
3795,45,718,142,1,credit_card,3/25/2017,7:12:12 AM
1143,45,718,284,2,credit_card,3/24/2017,4:20:45 PM
3674,7,718,112,1,cash,3/9/2017,3:13:26 AM
313,96,718,459,3,cash,3/10/2017,8:06:40 PM
353,95,718,336,2,debit,3/14/2017,6:44:56 PM
2109,58,718,138,1,debit,3/1/2017,12:47:54 AM
3544,6,718,374,2,credit_card,3/26/2017,12:12:41 AM
177,97,718,648,4,cash,3/16/2017,6:33:41 AM
1417,4,718,384,3,credit_card,3/21/2017,8:11:27 AM
1578,17,718,704,4,debit,3/9/2017,9:36:32 PM
2625,65,718,308,2,cash,3/15/2017,11:18:35 AM
3564,71,718,164,1,credit_card,3/11/2017,3:15:33 AM
1267,22,718,146,1,cash,3/11/2017,10:34:31 AM
4573,48,718,234,2,cash,3/28/2017,6:53:01 AM
1515,31,718,258,2,credit_card,3/13/2017,6:14:52 AM
619,29,718,326,2,cash,3/8/2017,6:56:18 PM
3581,50,718,193,1,debit,3/16/2017,7:45:47 AM
4040,32,718,202,2,debit,3/1/2017,3:06:05 AM
607,46,718,332,2,credit_card,3/26/2017,12:24:52 AM
4294,81,718,531,3,credit_card,3/29/2017,10:35:08 PM
151,47,718,435,3,credit_card,3/6/2017,5:24:17 AM
2848,19,718,326,2,debit,3/5/2017,11:52:01 AM
4258,19,719,326,2,cash,3/10/2017,10:57:26 AM
1598,1,719,158,1,cash,3/15/2017,11:14:25 PM
235,29,719,326,2,cash,3/22/2017,9:56:31 PM
3834,27,719,338,2,cash,3/25/2017,11:03:00 AM
2440,55,719,342,2,credit_card,3/13/2017,5:12:38 AM
4940,36,719,130,1,credit_card,3/3/2017,5:18:54 PM
4603,16,719,156,1,cash,3/30/2017,2:00:30 AM
4870,74,719,306,2,debit,3/30/2017,1:59:38 PM
3169,14,719,232,2,cash,3/1/2017,5:31:29 AM
4768,42,720,704,2,credit_card,3/14/2017,10:26:08 AM
1845,82,720,531,3,credit_card,3/12/2017,10:48:37 PM
1510,12,720,402,2,credit_card,3/24/2017,2:24:34 AM
4754,3,720,296,2,debit,3/29/2017,9:33:04 AM
4935,66,720,161,1,debit,3/2/2017,12:20:51 PM
4254,69,720,262,2,credit_card,3/11/2017,3:28:47 AM
3601,68,720,136,1,cash,3/4/2017,9:33:59 AM
1175,70,720,346,2,credit_card,3/12/2017,6:27:27 PM
3085,84,720,612,4,debit,3/7/2017,12:41:57 AM
1745,46,720,332,2,debit,3/21/2017,11:59:15 AM
2185,89,720,196,1,cash,3/1/2017,10:44:54 AM
62,60,720,531,3,debit,3/21/2017,6:08:34 PM
311,79,720,181,1,debit,3/16/2017,3:29:54 AM
2086,81,720,354,2,debit,3/17/2017,6:39:32 PM
762,30,720,306,2,debit,3/24/2017,12:13:35 PM
3324,56,721,117,1,credit_card,3/24/2017,2:08:05 PM
634,50,721,579,3,debit,3/8/2017,11:19:13 AM
884,66,721,322,2,cash,3/10/2017,10:10:26 AM
4540,64,721,266,2,cash,3/12/2017,4:02:49 AM
3400,21,721,426,3,credit_card,3/10/2017,7:36:47 PM
3492,63,721,136,1,credit_card,3/10/2017,6:05:56 AM
1797,9,721,354,3,credit_card,3/27/2017,1:32:30 PM
2618,48,721,468,4,debit,3/7/2017,11:35:25 AM
1207,12,721,402,2,debit,3/19/2017,1:15:17 PM
130,51,721,561,3,debit,3/14/2017,3:54:02 AM
2577,14,721,464,4,credit_card,3/2/2017,1:15:36 PM
2550,51,721,187,1,debit,3/2/2017,5:05:56 PM
2044,84,721,765,5,credit_card,3/13/2017,2:18:47 AM
2548,27,721,338,2,credit_card,3/6/2017,8:55:40 PM
3264,44,721,144,1,credit_card,3/23/2017,10:36:48 PM
2032,17,721,352,2,debit,3/11/2017,7:48:51 PM
4025,93,721,456,4,debit,3/5/2017,7:07:33 AM
854,24,721,280,2,cash,3/23/2017,4:12:40 AM
3900,39,721,268,2,credit_card,3/3/2017,9:14:52 PM
1248,89,722,196,1,cash,3/29/2017,5:07:53 AM
4331,55,722,171,1,debit,3/25/2017,8:57:55 PM
1150,13,722,320,2,debit,3/20/2017,11:30:35 AM
2835,18,722,468,3,debit,3/10/2017,3:09:41 AM
4089,53,722,112,1,debit,3/27/2017,11:10:07 AM
3863,16,722,156,1,credit_card,3/7/2017,7:48:59 PM
593,20,722,381,3,credit_card,3/15/2017,9:51:09 PM
3358,11,722,184,1,cash,3/12/2017,12:45:53 PM
1567,100,722,222,2,cash,3/30/2017,5:49:37 PM
2346,48,722,117,1,debit,3/28/2017,7:27:06 AM
4499,80,722,145,1,credit_card,3/14/2017,11:34:12 AM
3761,91,722,160,1,credit_card,3/2/2017,1:07:23 AM
860,46,722,498,3,debit,3/9/2017,3:52:36 AM
3796,11,723,368,2,credit_card,3/21/2017,1:11:01 AM
2689,83,723,258,2,credit_card,3/26/2017,9:04:06 PM
3255,59,723,178,1,debit,3/23/2017,9:31:49 PM
1746,93,723,228,2,debit,3/30/2017,4:35:46 PM
2388,30,723,459,3,cash,3/26/2017,3:56:47 AM
1075,55,723,342,2,credit_card,3/3/2017,5:55:34 AM
2528,58,723,414,3,cash,3/1/2017,11:18:00 AM
3247,55,723,342,2,debit,3/9/2017,10:22:05 PM
131,75,723,256,2,debit,3/28/2017,6:01:25 AM
4392,71,723,328,2,cash,3/22/2017,12:11:47 PM
1242,82,723,354,2,credit_card,3/22/2017,1:05:21 AM
1442,39,723,134,1,debit,3/1/2017,12:26:39 AM
3454,68,723,272,2,credit_card,3/17/2017,1:36:25 AM
3428,7,723,224,2,credit_card,3/7/2017,8:28:31 PM
3945,54,723,133,1,credit_card,3/18/2017,4:30:03 PM
4693,96,723,153,1,credit_card,3/6/2017,1:28:43 AM
824,24,723,280,2,credit_card,3/20/2017,2:59:05 AM
2653,6,723,187,1,debit,3/10/2017,11:18:41 PM
2308,61,723,948,6,credit_card,3/26/2017,11:29:37 AM
4389,93,723,228,2,debit,3/17/2017,1:40:50 PM
418,64,723,266,2,cash,3/3/2017,4:44:40 PM
995,89,723,784,4,cash,3/5/2017,9:05:23 AM
1232,54,723,133,1,debit,3/28/2017,4:39:06 AM
480,93,724,114,1,credit_card,3/4/2017,1:46:54 AM
3434,26,724,528,3,cash,3/11/2017,2:22:33 AM
2425,46,724,498,3,cash,3/2/2017,10:24:01 PM
685,72,724,160,1,credit_card,3/27/2017,6:28:43 PM
545,58,724,276,2,cash,3/11/2017,2:17:43 AM
2808,60,724,354,2,debit,3/3/2017,5:33:42 PM
172,57,724,147,1,debit,3/17/2017,7:08:48 AM
975,20,724,381,3,debit,3/3/2017,6:10:02 PM
3973,11,724,184,1,credit_card,3/16/2017,7:08:08 PM
3892,89,724,588,3,debit,3/17/2017,2:19:29 AM
2568,10,724,148,1,debit,3/6/2017,2:18:18 PM
2374,60,724,177,1,cash,3/22/2017,6:33:23 AM
2646,41,724,354,3,cash,3/3/2017,4:11:32 PM
718,29,724,326,2,credit_card,3/25/2017,10:45:08 PM
3184,50,724,193,1,credit_card,3/23/2017,7:22:28 AM
4542,70,724,519,3,credit_card,3/24/2017,5:18:23 PM
2595,58,724,138,1,cash,3/5/2017,8:38:34 PM
4713,43,725,362,2,cash,3/20/2017,6:10:07 AM
4664,9,725,118,1,cash,3/13/2017,1:28:49 AM
3613,43,725,362,2,cash,3/4/2017,1:40:37 AM
1988,29,725,326,2,credit_card,3/29/2017,8:47:02 PM
1708,55,725,342,2,debit,3/22/2017,1:52:52 AM
160,73,725,330,2,debit,3/22/2017,6:08:23 PM
4742,47,725,290,2,credit_card,3/5/2017,8:52:54 PM
1259,38,725,190,1,debit,3/15/2017,9:57:07 AM
71,11,725,184,1,credit_card,3/14/2017,5:12:18 PM
589,1,725,316,2,credit_card,3/9/2017,6:58:46 AM
3732,35,725,328,2,credit_card,3/27/2017,3:09:59 PM
4857,58,725,276,2,cash,3/9/2017,11:56:12 AM
4973,58,725,414,3,debit,3/8/2017,10:42:53 AM
4155,79,725,543,3,debit,3/17/2017,12:32:32 PM
4812,81,725,177,1,credit_card,3/6/2017,8:01:25 PM
1088,10,725,444,3,cash,3/26/2017,8:24:33 AM
1087,70,725,346,2,cash,3/5/2017,9:17:58 AM
663,26,725,352,2,credit_card,3/9/2017,9:30:46 PM
565,45,725,710,5,debit,3/3/2017,12:35:20 AM
2502,23,726,468,3,debit,3/1/2017,7:47:38 PM
848,71,726,492,3,cash,3/18/2017,3:24:29 PM
3702,15,726,306,2,debit,3/24/2017,5:34:45 PM
3369,60,726,354,2,cash,3/17/2017,10:37:29 PM
4624,18,726,312,2,cash,3/19/2017,3:09:36 PM
2222,53,726,224,2,credit_card,3/20/2017,2:09:04 PM
1877,61,726,158,1,credit_card,3/4/2017,6:42:51 AM
1712,9,726,236,2,credit_card,3/21/2017,10:11:12 AM
2929,81,726,354,2,cash,3/21/2017,7:29:30 AM
3849,91,726,160,1,credit_card,3/13/2017,4:05:56 AM
345,84,726,459,3,credit_card,3/3/2017,12:54:13 PM
2684,75,726,128,1,cash,3/19/2017,10:44:53 AM
3514,42,726,1056,3,debit,3/24/2017,5:51:05 PM
1137,32,726,101,1,cash,3/15/2017,11:45:55 AM
4899,91,726,160,1,credit_card,3/29/2017,7:10:18 AM
3174,6,726,374,2,credit_card,3/6/2017,10:42:38 AM
4452,24,726,280,2,credit_card,3/2/2017,11:30:18 PM
3596,77,726,156,1,debit,3/13/2017,2:43:42 AM
1293,81,727,177,1,cash,3/16/2017,7:46:22 AM
492,18,727,156,1,debit,3/19/2017,11:27:32 AM
573,57,727,588,4,debit,3/13/2017,1:45:25 AM
743,12,727,804,4,cash,3/14/2017,4:38:01 PM
909,72,727,160,1,credit_card,3/11/2017,7:37:17 PM
1045,30,727,459,3,debit,3/17/2017,10:48:11 PM
753,33,727,173,1,credit_card,3/16/2017,8:47:30 PM
4302,65,727,154,1,cash,3/15/2017,3:10:12 AM
4032,79,727,362,2,credit_card,3/9/2017,1:59:44 AM
737,31,727,129,1,debit,3/12/2017,10:24:46 PM
899,24,727,420,3,debit,3/26/2017,12:59:12 PM
782,77,727,312,2,credit_card,3/21/2017,4:52:31 PM
4304,45,727,284,2,cash,3/1/2017,11:55:44 AM
3046,10,727,296,2,debit,3/11/2017,6:59:14 PM
2420,3,727,296,2,cash,3/17/2017,10:23:07 PM
3153,46,727,166,1,cash,3/1/2017,3:24:42 AM
210,37,727,284,2,debit,3/20/2017,11:06:15 AM
1136,16,727,312,2,debit,3/5/2017,12:41:37 AM
